Address,Date,Genre,Performer,Venue
"Łazienkowska 6a,Warsaw,Poland","Tuesday, June 06, 2023,| 08:00PM,",Alternative Rock / Indie,The Lumineers,COS Torwar
"Warsaw,Poland","Tuesday, June 06, 2023,| 06:30PM,",Punk / Garage Rock,"Rancid,The Bronx",Letnia Scena Progresji
"Wroclaw,Poland","Wednesday, June 07, 2023,| 07:00PM,",Pop Music / Soft Rock,"Palaye Royale,The Warning",Centrum Koncertowe A2
"ul. Stefana Batorego 10,Warsaw,Poland","Tuesday, June 06, 2023,| 06:00PM,",Rap / Hip-Hop,Death Grips,Klub Stodoła
"ul. 11 Listopada 22,Warsaw,Poland","Tuesday, June 06, 2023,| 08:00PM,",Soul / R&B,Thumpasaurus,Hydrozagadka
"Warsaw,Poland","Tuesday, June 06, 2023,| 07:00PM,",Alternative Rock / Indie,Amigo The Devil,Chmury
"Krakow,Poland","Wednesday, June 07, 2023,| 07:00PM,",Alternative Rock / Indie,Incubus,Tauron Arena Krakow
"Warsaw,Poland","Wednesday, June 07, 2023,| 08:00PM,",Soul / R&B,Scary Pockets,Teatr Palladium
"Wroclaw,Poland","Tuesday, June 06, 2023,| 08:00PM,",Hard Rock / Heavy Metal,Fever 333,Zaklęte Rewiry
"Wroclaw,Poland","Friday, June 09, 2023,| 07:00PM,",Pop Music / Soft Rock,Disney Princess: The Concert,Hala Stulecia
"Poznan,Poland","Saturday, June 10, 2023,| 06:00PM,",Punk / Garage Rock,Gogol Bordello,B17
"Wroclaw,Poland","Sunday, June 11, 2023,| 12:00PM,",Pop Music / Soft Rock,Disney Princess: The Concert,Hala Stulecia
"Krakow,Poland","Sunday, June 11, 2023,| 06:00PM,",Punk / Garage Rock,Gogol Bordello,Klub Studio
"ul. Fort Wola 22,Warsaw,Poland","Saturday, June 10, 2023,| 06:00PM,",Hard Rock / Heavy Metal,Billy Talent,Klub Progresja
"Wroclaw,Poland","Saturday, June 10, 2023,| 06:00PM,",Pop Music / Soft Rock,Disney Princess: The Concert,Hala Stulecia
"7 Bandurskiego,Lodz,Poland","Saturday, June 10, 2023,| 08:00PM,",Hard Rock / Heavy Metal,Scorpions,Atlas Arena
"ul. Stefana Batorego 10,Warsaw,Poland","Friday, June 09, 2023,| 06:00PM,",Punk / Garage Rock,Gogol Bordello,Klub Stodoła
"ul. 11 Listopada 22,Warsaw,Poland","Sunday, June 11, 2023,| 07:30PM,",Punk / Garage Rock,The Menzingers,Hydrozagadka
"ul. Złota 7/9,Warsaw,Poland","Sunday, June 11, 2023",Jazz / Blues,Dirty Honey,Hybrydy
"Krakow,Poland","Monday, June 12, 2023,| 03:00PM,",Hard Rock / Heavy Metal,Deep Purple,Tauron Arena Krakow
"ul. Fort Wola 22,Warsaw,Poland","Monday, June 12, 2023,| 08:00PM,",Alternative Rock / Indie,The War On Drugs,Klub Progresja
"Krakow,Poland","Monday, June 12, 2023,| 07:00PM,",Punk / Garage Rock,Anti-Flag,Kwadrat
"Krakow,Poland","Tuesday, June 13, 2023,| 06:00PM,",Hard Rock / Heavy Metal,Iron Maiden,Tauron Arena Krakow
"Poznan,Poland","Tuesday, June 13, 2023",Hard Rock / Heavy Metal,Airbourne,Klub Tama
"ul. 11 Listopada 22,Warsaw,Poland","Tuesday, June 13, 2023,| 07:00PM,",Punk / Garage Rock,Anti-Flag,Hydrozagadka
"ul. 11 Listopada 22,Warsaw,Poland","Thursday, June 15, 2023,| 06:00PM,",Progressive Rock ,Psychedelic Porn Crumpets,Hydrozagadka
"Krakow,Poland","Wednesday, June 14, 2023,| 06:00PM,",Hard Rock / Heavy Metal,Iron Maiden,Tauron Arena Krakow
"ul. Fort Wola 22,Warsaw,Poland","Wednesday, June 14, 2023",Hard Rock / Heavy Metal,Airbourne,Klub Progresja
"ul. Stefana Batorego 10,Warsaw,Poland","Thursday, June 15, 2023,| 07:00PM,",Alternative Rock / Indie,Son Lux,Klub Stodoła
"Poznan,Poland","Wednesday, June 14, 2023,| 06:00PM,",Hard Rock / Heavy Metal,Billy Talent,B17
"Gdansk,Poland","Wednesday, June 14, 2023,| 07:00PM,",Punk / Garage Rock,Anti-Flag,Klub Drizzly Grizzly
"Krakow,Poland","Wednesday, June 14, 2023,| 06:00PM,",Progressive Rock ,Psychedelic Porn Crumpets,Klub Zaścianek
"Gdansk,Poland","Friday, June 16, 2023,| 07:00PM,",Alternative Rock / Indie,Son Lux,"Klub B90, Stocznia Gdańska"
"Poznan,Poland","Tuesday, June 20, 2023,| 08:00PM,",Alternative Rock / Indie,Kevin Morby,Tama
"Gdansk,Poland","Saturday, June 17, 2023,| 06:00PM,",Pop Music / Soft Rock,Disney Princess: The Concert,Ergo Arena
"Gdansk,Poland","Friday, June 16, 2023,| 07:00PM,",Pop Music / Soft Rock,Disney Princess: The Concert,Ergo Arena
"Krakow,Poland","Saturday, June 17, 2023,| 07:00PM,",Alternative Rock / Indie,Son Lux,Kwadrat
"Krakow,Poland","Monday, June 19, 2023,| 06:00PM,",Hard Rock / Heavy Metal,KISS,Tauron Arena Krakow
"Gdansk,Poland","Sunday, June 18, 2023,| 12:00PM,",Pop Music / Soft Rock,Disney Princess: The Concert,Ergo Arena
"Al. Ksiecia J. Poniatowskiego 1,Warsaw,Poland","Wednesday, June 21, 2023,| 05:00PM,",Alternative Rock / Indie,"Red Hot Chili Peppers,Iggy Pop",National Stadium
"ul. Żwirki i Wigury 99a,Warsaw,Poland","Monday, June 19, 2023,| 08:00PM,",Alternative Rock / Indie,Kevin Morby,Proxima
"ul. 11 Listopada 22,Warsaw,Poland","Wednesday, June 21, 2023,| 08:00PM,",Hard Rock / Heavy Metal,Butcher Babies,Hydrozagadka
"Łazienkowska 6a,Warsaw,Poland","Thursday, June 22, 2023,| 06:00PM,",Alternative Rock / Indie,James Bay,COS Torwar
"Poznan,Poland","Thursday, June 22, 2023,| 08:00PM,",Hard Rock / Heavy Metal,Butcher Babies,Tama
"Gdansk,Poland","Thursday, June 22, 2023,| 08:00PM,",Hard Rock / Heavy Metal,Scorpions,Ergo Arena
"7 Bandurskiego,Lodz,Poland","Saturday, June 24, 2023,| 06:00PM,",Pop Music / Soft Rock,Disney Princess: The Concert,Atlas Arena
"Krakow,Poland","Saturday, June 24, 2023",Pop Music / Soft Rock,Pink,Travel-Packages
"7 Bandurskiego,Lodz,Poland","Friday, June 23, 2023,| 07:00PM,",Pop Music / Soft Rock,Disney Princess: The Concert,Atlas Arena
"Krakow,Poland","Saturday, June 24, 2023,| 08:00PM,",Alternative Rock / Indie,Kevin Morby,Kwadrat
"7 Bandurskiego,Lodz,Poland","Sunday, June 25, 2023,| 12:00PM,",Pop Music / Soft Rock,Disney Princess: The Concert,Atlas Arena
"Warsaw,Poland","Sunday, June 25, 2023,| 08:00PM,",Pop Music / Soft Rock,Foals,Letnia Scena Progresji
"Al. Ksiecia J. Poniatowskiego 1,Warsaw,Poland","Tuesday, June 27, 2023,| 05:00PM,",Soul / R&B,Beyoncé,National Stadium
"Warsaw,Poland","Monday, June 26, 2023,| 08:00PM,",Alternative Rock / Indie,Built To Spill,Niebo
"Gdansk,Poland","Sunday, June 25, 2023,| 08:00PM,",Electronic Music / Dance,Dance With The Dead,Klub Drizzly Grizzly
"Poznan,Poland","Tuesday, June 27, 2023,| 08:00PM,",Alternative Rock / Indie,Built To Spill,Tama
"ul. 11 Listopada 22,Warsaw,Poland","Tuesday, June 27, 2023,| 07:00PM,",Alternative Rock / Indie,Dead Poet Society,Hydrozagadka
