,Performer,Venue,Address,Date,Genre
0,DakhaBrakha,Kinoteatr Rialto,Katowice,"Sunday, June 04, 2023",World Music
1,Evanescence,Klub Progresja,Warsaw,"Monday, June 05, 2023 | 07:00PM",Hard Rock / Heavy Metal
2,Pantera,Atlas Arena,Lodz,"Monday, June 05, 2023 | 03:00PM",Hard Rock / Heavy Metal
3,Ben Howard,Proxima,Warsaw,"Monday, June 05, 2023 | 09:00PM",Alternative Rock / Indie
4,Death Grips,Klub Stodoła,Warsaw,"Monday, June 05, 2023",Rap / Hip-Hop
5,The Lumineers,COS Torwar,Warsaw,"Tuesday, June 06, 2023 | 08:00PM",Alternative Rock / Indie
6,Rancid,Letnia Scena Progresji,Warsaw,"Tuesday, June 06, 2023 | 06:30PM",Punk / Garage Rock
7,Death Grips,Klub Stodoła,Warsaw,"Tuesday, June 06, 2023 | 06:00PM",Rap / Hip-Hop
8,Thumpasaurus,Hydrozagadka,Warsaw,"Tuesday, June 06, 2023 | 08:00PM",Soul / R&B
9,Amigo The Devil,Chmury,Warsaw,"Tuesday, June 06, 2023 | 07:00PM",Alternative Rock / Indie
10,Fever 333,Zaklęte Rewiry,Wroclaw,"Tuesday, June 06, 2023 | 08:00PM",Hard Rock / Heavy Metal
11,Scary Pockets,Teatr Palladium,Warsaw,"Wednesday, June 07, 2023 | 08:00PM",Soul / R&B
12,Incubus,Tauron Arena Krakow,Krakow,"Wednesday, June 07, 2023 | 07:00PM",Alternative Rock / Indie
13,Palaye Royale,Centrum Koncertowe A2,Wroclaw,"Wednesday, June 07, 2023 | 07:00PM",Pop Music / Soft Rock
14,Disney Princess: The Concert,Hala Stulecia,Wroclaw,"Friday, June 09, 2023 | 07:00PM",Pop Music / Soft Rock
15,Gogol Bordello,Klub Stodoła,Warsaw,"Friday, June 09, 2023 | 06:00PM",Punk / Garage Rock
16,Scorpions,Atlas Arena,Lodz,"Saturday, June 10, 2023 | 08:00PM",Hard Rock / Heavy Metal
17,Disney Princess: The Concert,Hala Stulecia,Wroclaw,"Saturday, June 10, 2023 | 06:00PM",Pop Music / Soft Rock
18,Billy Talent,Klub Progresja,Warsaw,"Saturday, June 10, 2023 | 06:00PM",Hard Rock / Heavy Metal
19,Gogol Bordello,B17,Poznan,"Saturday, June 10, 2023 | 06:00PM",Punk / Garage Rock
20,Disney Princess: The Concert,Hala Stulecia,Wroclaw,"Sunday, June 11, 2023 | 12:00PM",Pop Music / Soft Rock
21,Gogol Bordello,Klub Studio,Krakow,"Sunday, June 11, 2023 | 06:00PM",Punk / Garage Rock
22,Dirty Honey,Hybrydy,Warsaw,"Sunday, June 11, 2023",Jazz / Blues
23,The Menzingers,Hydrozagadka,Warsaw,"Sunday, June 11, 2023 | 07:30PM",Punk / Garage Rock
24,Deep Purple,Tauron Arena Krakow,Krakow,"Monday, June 12, 2023 | 03:00PM",Hard Rock / Heavy Metal
25,Anti-Flag,Kwadrat,Krakow,"Monday, June 12, 2023 | 07:00PM",Punk / Garage Rock
26,The War On Drugs,Klub Progresja,Warsaw,"Monday, June 12, 2023 | 08:00PM",Alternative Rock / Indie
27,Iron Maiden,Tauron Arena Krakow,Krakow,"Tuesday, June 13, 2023 | 06:00PM",Hard Rock / Heavy Metal
28,Airbourne,Klub Tama,Poznan,"Tuesday, June 13, 2023",Hard Rock / Heavy Metal
29,Anti-Flag,Hydrozagadka,Warsaw,"Tuesday, June 13, 2023 | 07:00PM",Punk / Garage Rock
30,Iron Maiden,Tauron Arena Krakow,Krakow,"Wednesday, June 14, 2023 | 06:00PM",Hard Rock / Heavy Metal
31,Billy Talent,B17,Poznan,"Wednesday, June 14, 2023 | 06:00PM",Hard Rock / Heavy Metal
32,Psychedelic Porn Crumpets,Klub Zaścianek,Krakow,"Wednesday, June 14, 2023 | 06:00PM",Progressive Rock 
33,Airbourne,Klub Progresja,Warsaw,"Wednesday, June 14, 2023",Hard Rock / Heavy Metal
34,Anti-Flag,Klub Drizzly Grizzly,Gdansk,"Wednesday, June 14, 2023 | 07:00PM",Punk / Garage Rock
35,Son Lux,Klub Stodoła,Warsaw,"Thursday, June 15, 2023 | 07:00PM",Alternative Rock / Indie
36,Psychedelic Porn Crumpets,Hydrozagadka,Warsaw,"Thursday, June 15, 2023 | 06:00PM",Progressive Rock 
37,Son Lux,"Klub B90, Stocznia Gdańska",Gdansk,"Friday, June 16, 2023 | 07:00PM",Alternative Rock / Indie
38,Disney Princess: The Concert,Ergo Arena,Gdansk,"Friday, June 16, 2023 | 07:00PM",Pop Music / Soft Rock
39,Disney Princess: The Concert,Ergo Arena,Gdansk,"Saturday, June 17, 2023 | 06:00PM",Pop Music / Soft Rock
40,Son Lux,Kwadrat,Krakow,"Saturday, June 17, 2023 | 07:00PM",Alternative Rock / Indie
41,Disney Princess: The Concert,Ergo Arena,Gdansk,"Sunday, June 18, 2023 | 12:00PM",Pop Music / Soft Rock
